Zoo Name,Location,City,State,SpeciesID,Species Name,Opening Balance - Male,Opening Balance - Female,Opening Balance - Unknown Sex,Opening Balance - Total,Birth - Male,Birth - Female,Birth - Unknown Sex,Acquisition - Male,Acquisition - Female,Acquisition - Unknown Sex,Death - Male,Death - Female,Death - Unknown Sex,Disposal - Male,Disposal - Female,Disposal - Unknown Sex,Closing Balance - Male,Closing Balance - Female,Closing Balance - Unknown Sex,Closing Balance - Total,Zoo Size,Total_Birth,Total_Acquisition,Total_Death,Total_Disposal,Calculated_Closing,Reporting_Error,Zone,Net_Growth,Is_Endangered,Mortality_Rate
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,81.0,*Rhesus Macaque (Macaca ) mulatta,3.0,14.0,9.0,5.0,2.0,15.0,2.0,6.0,2.0,4.0,6.0,3.0,13.0,8.0,7.0,5.0,3.0,2.0,8.0,5.0,Large,19.0,12.0,22.0,20.0,-6.0,True,North,-11.0,False,4.4
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,82.0,Sambar Deer (Rusa ) unicolor,3.0,14.0,8.0,25.0,14.0,6.0,4.0,4.0,5.0,10.0,2.0,2.0,13.0,12.0,4.0,7.0,4.0,19.0,5.0,28.0,Large,24.0,19.0,17.0,23.0,28.0,False,North,3.0,False,0.68
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,83.0,Sika Deer (Cervus ) nippon,2.0,5.0,15.0,2.0,11.0,4.0,6.0,2.0,12.0,11.0,14.0,6.0,9.0,13.0,5.0,13.0,2.0,6.0,6.0,2.0,Large,21.0,25.0,29.0,31.0,-12.0,True,North,-14.0,False,14.5
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,84.0,*Sloth Bear (Melursus ) ursinus,2.0,2.0,2.0,4.0,11.0,10.0,4.0,15.0,12.0,15.0,6.0,13.0,14.0,13.0,7.0,4.0,2.0,10.0,12.0,3.0,Large,25.0,42.0,33.0,24.0,14.0,True,North,10.0,False,8.25
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,85.0,*Small Indian Civet (Viverricula ) indica,12.0,10.0,3.0,7.0,13.0,5.0,3.0,7.0,7.0,2.0,3.0,15.0,13.0,6.0,8.0,14.0,12.0,14.0,3.0,3.0,Large,21.0,16.0,31.0,28.0,-15.0,True,North,-22.0,False,4.43
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,86.0,Striped Hyena (Hyaena ) hyaena,11.0,2.0,2.0,3.0,8.0,8.0,9.0,15.0,2.0,5.0,14.0,2.0,11.0,4.0,14.0,9.0,7.0,2.0,6.0,3.0,Large,25.0,22.0,27.0,27.0,-4.0,True,North,-7.0,False,9.0
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,87.0,*Stump-tailed (Macaca ) Macaque arctoides,4.0,4.0,2.0,8.0,15.0,8.0,2.0,3.0,7.0,13.0,11.0,2.0,11.0,3.0,8.0,6.0,4.0,3.0,2.0,9.0,Large,25.0,23.0,24.0,17.0,15.0,True,North,7.0,False,3.0
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,88.0,*Tiger (Panthera ) (leucistic/White) tigris,2.0,2.0,3.0,7.0,15.0,3.0,5.0,2.0,3.0,7.0,8.0,7.0,9.0,4.0,7.0,15.0,2.0,2.0,2.0,6.0,Large,23.0,12.0,24.0,26.0,-8.0,True,North,-15.0,False,3.43
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,89.0,Wild Boar (Sus scrofa ),10.0,5.0,11.0,15.0,14.0,3.0,4.0,8.0,9.0,15.0,7.0,8.0,14.0,14.0,5.0,14.0,10.0,5.0,3.0,15.0,Large,21.0,32.0,29.0,33.0,6.0,True,North,-9.0,False,1.93
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,46.96859169199595,Reptilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Large,0.0,0.0,0.0,0.0,0.0,False,North,0.0,False,0.0
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,91.0,*Checkered (Fowlea ) Keelback piscator,6.0,2.0,14.0,2.0,4.0,14.0,9.0,5.0,6.0,13.0,10.0,14.0,5.0,9.0,3.0,3.0,5.0,6.0,7.0,10.0,Large,27.0,24.0,29.0,15.0,9.0,True,North,7.0,False,14.5
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,92.0,*Common Rat (Ptyas ) Snake mucosa,4.0,7.0,8.0,4.0,13.0,15.0,9.0,5.0,14.0,2.0,7.0,9.0,10.0,11.0,2.0,5.0,3.0,15.0,9.0,3.0,Large,37.0,21.0,26.0,18.0,18.0,True,North,14.0,False,6.5
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,93.0,Common Sand (Gongylophi ) Boa s conicus,10.0,14.0,2.0,3.0,15.0,13.0,14.0,5.0,4.0,7.0,9.0,8.0,8.0,15.0,7.0,13.0,10.0,3.0,2.0,3.0,Large,42.0,16.0,25.0,35.0,1.0,True,North,-2.0,False,8.33
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,94.0,Diadem Snake (Spalerosop ) his diadema,8.0,14.0,3.0,15.0,8.0,8.0,3.0,10.0,6.0,5.0,11.0,9.0,12.0,6.0,4.0,7.0,8.0,8.0,13.0,8.0,Large,19.0,21.0,32.0,17.0,6.0,True,North,-9.0,False,2.13
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,95.0,*Gharial (Gavialis ) gangeticus,2.0,10.0,2.0,3.0,7.0,13.0,15.0,3.0,2.0,6.0,2.0,7.0,10.0,9.0,4.0,7.0,2.0,2.0,13.0,3.0,Large,35.0,11.0,19.0,20.0,10.0,True,North,7.0,False,6.33
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,96.0,*Indian Rock (Python ) Python molurus,3.0,6.0,8.0,10.0,12.0,3.0,12.0,9.0,11.0,2.0,9.0,12.0,10.0,2.0,10.0,14.0,3.0,6.0,4.0,10.0,Large,27.0,22.0,31.0,26.0,2.0,True,North,-8.0,False,3.1
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,97.0,Indian Star (Geochelone ) Tortoise elegans,3.0,3.0,5.0,6.0,9.0,11.0,14.0,6.0,5.0,8.0,3.0,10.0,5.0,15.0,15.0,14.0,3.0,3.0,9.0,6.0,Large,34.0,19.0,18.0,44.0,-3.0,True,North,-9.0,False,3.0
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,98.0,*Marsh Crocodile (Crocodylus ) palustris,6.0,2.0,2.0,5.0,4.0,10.0,7.0,12.0,8.0,7.0,3.0,8.0,9.0,10.0,12.0,14.0,3.0,2.0,2.0,5.0,Large,21.0,27.0,20.0,36.0,-3.0,True,North,-8.0,False,4.0
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,99.0,Red Sand Boa (Eryx johnii ),2.0,12.0,3.0,5.0,5.0,13.0,5.0,7.0,2.0,6.0,4.0,13.0,8.0,5.0,8.0,8.0,9.0,15.0,8.0,10.0,Large,23.0,15.0,25.0,21.0,-3.0,True,North,-8.0,False,5.0
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,100.0,Red eared slider (Trachemys ) scripta elegans,9.0,13.0,15.0,2.0,11.0,14.0,6.0,3.0,11.0,4.0,6.0,8.0,10.0,8.0,2.0,15.0,2.0,5.0,11.0,2.0,Large,31.0,18.0,24.0,25.0,2.0,False,North,0.0,False,12.0
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,101.0,Siamese Crocodile (Crocodylus ) siamensis,10.0,8.0,9.0,2.0,7.0,11.0,3.0,9.0,11.0,15.0,7.0,3.0,13.0,8.0,3.0,15.0,3.0,9.0,9.0,2.0,Large,21.0,35.0,23.0,26.0,9.0,True,North,7.0,False,11.5
National Zoological Park,Bhubaneshwar,Bhubaneshwar,Delhi,102.0,*Spectacled Cobra (Naja naja ),2.0,10.0,3.0,3.0,9.0,9.0,11.0,10.0,10.0,5.0,13.0,11.0,13.0,4.0,2.0,5.0,2.0,10.0,5.0,3.0,Large,29.0,25.0,37.0,11.0,9.0,True,North,6.0,False,12.33
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,1.0,Alexandrine (Psittacula ) Parakeet eupatria,2.0,2.0,2.0,2.0,13.0,4.0,14.0,4.0,3.0,9.0,3.0,3.0,13.0,3.0,4.0,12.0,2.0,3.0,13.0,2.0,Large,31.0,16.0,19.0,19.0,11.0,True,North,9.0,False,9.5
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,2.0,Black Swan (Cygnus ) atratus,6.0,6.0,11.0,2.0,8.0,5.0,2.0,11.0,4.0,5.0,5.0,4.0,13.0,12.0,8.0,13.0,11.0,12.0,5.0,2.0,Large,15.0,20.0,22.0,33.0,-18.0,True,North,-20.0,False,11.0
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,3.0,Black-headed Ibis (Threskiorni ) s melanocep halus,6.0,10.0,4.0,20.0,6.0,11.0,3.0,2.0,11.0,4.0,4.0,15.0,6.0,10.0,10.0,2.0,6.0,10.0,4.0,20.0,Large,20.0,17.0,25.0,22.0,10.0,True,North,-10.0,False,1.25
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,4.0,"Black-masked (Agapornis ) Lovebird, Masked personatus Lovebird, Yellow-collared Lovebird",5.0,10.0,5.0,20.0,11.0,9.0,15.0,8.0,5.0,9.0,11.0,3.0,8.0,14.0,14.0,4.0,5.0,10.0,20.0,35.0,Large,35.0,22.0,22.0,32.0,23.0,True,North,3.0,False,1.1
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,5.0,Black-necked (Ephippiorhy ) Stork nchus asiaticus,3.0,2.0,4.0,9.0,7.0,3.0,13.0,3.0,12.0,6.0,13.0,13.0,5.0,14.0,10.0,12.0,3.0,2.0,4.0,9.0,Large,23.0,21.0,31.0,36.0,-14.0,True,North,-23.0,False,3.44
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,6.0,Blossom-headed (Psittacula ) Parakeet roseata,2.0,4.0,10.0,6.0,5.0,12.0,3.0,4.0,7.0,9.0,9.0,9.0,10.0,15.0,14.0,12.0,2.0,4.0,4.0,6.0,Large,20.0,20.0,28.0,41.0,-23.0,True,North,-29.0,False,4.67
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,7.0,"Blue-and-gold (Ara ) Macaw, ararauna Blue-and-yellow Macaw",4.0,7.0,13.0,12.0,12.0,13.0,3.0,6.0,9.0,7.0,10.0,14.0,12.0,10.0,8.0,13.0,4.0,7.0,4.0,15.0,Large,28.0,22.0,36.0,31.0,-5.0,True,North,-17.0,False,3.0
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,8.0,Budgerigar (Melopsittac ) us undulatus,5.0,10.0,8.0,23.0,11.0,15.0,7.0,12.0,10.0,14.0,11.0,10.0,2.0,7.0,11.0,9.0,5.0,10.0,15.0,30.0,Large,33.0,36.0,23.0,27.0,42.0,True,North,19.0,False,1.0
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,9.0,Cockatiel (Nymphicus ) hollandicus,39.0,50.0,13.0,89.0,2.0,14.0,11.0,6.0,15.0,11.0,3.0,13.0,5.0,9.0,5.0,4.0,39.0,50.0,11.0,89.0,Large,27.0,32.0,21.0,18.0,109.0,True,North,20.0,False,0.24
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,10.0,Common Barn (Tyto alba ) Owl,2.0,11.0,4.0,7.0,15.0,5.0,9.0,2.0,8.0,13.0,4.0,15.0,6.0,8.0,13.0,2.0,2.0,6.0,4.0,7.0,Large,29.0,23.0,25.0,23.0,11.0,True,North,4.0,False,3.57
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,11.0,*Common Hill Myna (Gracula ) religiosa,5.0,3.0,2.0,8.0,12.0,4.0,15.0,10.0,8.0,10.0,12.0,13.0,4.0,2.0,2.0,13.0,3.0,5.0,12.0,4.0,Large,31.0,28.0,29.0,17.0,21.0,True,North,13.0,False,3.62
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,13.0,Dove (Columbidae ) sp.,10.0,16.0,3.0,26.0,14.0,14.0,2.0,11.0,6.0,4.0,13.0,8.0,13.0,2.0,12.0,3.0,10.0,16.0,13.0,26.0,Large,30.0,21.0,34.0,17.0,26.0,False,North,0.0,False,1.31
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,14.0,Eclectus Parrot (Eclectus ) roratus,10.0,12.0,7.0,2.0,11.0,15.0,9.0,7.0,3.0,10.0,12.0,6.0,10.0,14.0,12.0,12.0,11.0,3.0,14.0,2.0,Large,35.0,20.0,28.0,38.0,-9.0,True,North,-11.0,False,14.0
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,15.0,Emu (Dromaius ) novaehollan diae,3.0,5.0,4.0,8.0,6.0,5.0,15.0,10.0,4.0,11.0,6.0,4.0,15.0,2.0,5.0,10.0,2.0,5.0,14.0,7.0,Large,26.0,25.0,25.0,17.0,17.0,True,North,9.0,False,3.12
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,16.0,Eurasian Eagle (Bubo bubo ) Owl,2.0,13.0,2.0,5.0,4.0,6.0,15.0,14.0,9.0,14.0,10.0,14.0,12.0,11.0,6.0,3.0,2.0,8.0,2.0,5.0,Large,25.0,37.0,36.0,20.0,11.0,True,North,6.0,False,7.2
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,17.0,*Eurasian Spoonbill (Platalea ) leucorodia,7.0,15.0,8.0,15.0,4.0,12.0,7.0,9.0,5.0,14.0,8.0,12.0,5.0,11.0,12.0,3.0,2.0,12.0,3.0,5.0,Large,23.0,28.0,25.0,26.0,15.0,True,North,0.0,False,1.67
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,18.0,Golden Pheasant (Chrysoloph ) us pictus,3.0,11.0,4.0,8.0,9.0,3.0,3.0,13.0,2.0,10.0,7.0,15.0,12.0,10.0,3.0,8.0,3.0,13.0,5.0,8.0,Large,15.0,25.0,34.0,21.0,-7.0,True,North,-15.0,False,4.25
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,19.0,Gray Partridge (Perdix ) perdix,5.0,15.0,2.0,10.0,9.0,6.0,12.0,13.0,9.0,12.0,4.0,15.0,3.0,5.0,12.0,13.0,6.0,13.0,9.0,14.0,Large,27.0,34.0,22.0,30.0,19.0,True,North,9.0,False,2.2
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,20.0,*Great Hornbill (Buceros ) bicornis,5.0,3.0,2.0,4.0,13.0,14.0,12.0,12.0,10.0,2.0,9.0,11.0,11.0,9.0,14.0,8.0,13.0,3.0,2.0,4.0,Large,39.0,24.0,31.0,31.0,5.0,True,North,1.0,False,7.75
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,21.0,Great Horned Owl (Bubo ) virginianus,8.0,8.0,3.0,5.0,2.0,8.0,8.0,14.0,3.0,5.0,15.0,3.0,8.0,15.0,5.0,11.0,8.0,7.0,3.0,5.0,Large,18.0,22.0,26.0,31.0,-12.0,True,North,-17.0,False,5.2
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,22.0,Great White (Pelecanus ) Pelican onocrotalus,15.0,19.0,12.0,46.0,5.0,15.0,15.0,5.0,8.0,14.0,7.0,7.0,12.0,14.0,11.0,10.0,21.0,25.0,15.0,61.0,Large,35.0,27.0,26.0,35.0,47.0,True,North,1.0,False,0.57
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,23.0,"Green-cheeked (Pyrrhura ) Conure, molinae Green-cheeked Parakeet",10.0,2.0,5.0,8.0,5.0,11.0,13.0,5.0,4.0,11.0,14.0,10.0,4.0,9.0,3.0,9.0,3.0,3.0,13.0,19.0,Large,29.0,20.0,28.0,21.0,8.0,True,North,0.0,False,3.5
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,24.0,"Green-winged (Ara ) Macaw, chloropteru Red-and-green s Macaw",4.0,12.0,13.0,4.0,8.0,6.0,15.0,11.0,7.0,5.0,14.0,10.0,6.0,2.0,12.0,14.0,14.0,9.0,6.0,12.0,Large,29.0,23.0,30.0,28.0,-2.0,True,North,-6.0,False,7.5
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,26.0,Greylag Goose (Anser anser ),14.0,5.0,11.0,4.0,2.0,6.0,12.0,3.0,11.0,8.0,4.0,6.0,13.0,14.0,7.0,12.0,9.0,3.0,7.0,5.0,Large,20.0,22.0,23.0,33.0,-10.0,True,North,-14.0,False,5.75
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,27.0,Griffon Vulture (Gyps fulvus ),8.0,8.0,4.0,4.0,2.0,5.0,9.0,4.0,11.0,9.0,3.0,13.0,9.0,3.0,10.0,15.0,3.0,9.0,3.0,3.0,Large,16.0,24.0,25.0,28.0,-9.0,True,North,-13.0,False,6.25
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,28.0,Jungle Owlet (Glaucidium ) radiatum,4.0,2.0,12.0,6.0,10.0,8.0,8.0,11.0,2.0,14.0,7.0,7.0,15.0,7.0,7.0,12.0,4.0,2.0,13.0,6.0,Large,26.0,27.0,29.0,26.0,4.0,True,North,-2.0,False,4.83
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,29.0,Lady Amherst's (Chrysoloph ) Pheasant us amherstiae,2.0,12.0,2.0,2.0,2.0,6.0,14.0,14.0,7.0,15.0,13.0,11.0,13.0,9.0,4.0,6.0,8.0,6.0,12.0,3.0,Large,22.0,36.0,37.0,19.0,4.0,True,North,2.0,False,18.5
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,30.0,Mottled Wood Owl (Strix ) ocellata,10.0,4.0,4.0,2.0,15.0,10.0,13.0,14.0,7.0,2.0,7.0,6.0,12.0,2.0,10.0,7.0,3.0,5.0,14.0,2.0,Large,38.0,23.0,25.0,19.0,19.0,True,North,17.0,False,12.5
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,31.0,Painted Stork (Mycteria ) leucocephal a,8.0,14.0,11.0,33.0,10.0,2.0,10.0,4.0,12.0,15.0,11.0,12.0,15.0,12.0,9.0,9.0,8.0,14.0,11.0,33.0,Large,22.0,31.0,38.0,30.0,18.0,True,North,-15.0,False,1.15
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,32.0,*Peafowl (leucistic) (Pavo ) cristatus,5.0,11.0,8.0,2.0,5.0,15.0,9.0,8.0,15.0,14.0,12.0,11.0,2.0,7.0,10.0,6.0,3.0,14.0,3.0,2.0,Large,29.0,37.0,25.0,23.0,20.0,True,North,18.0,False,12.5
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,33.0,Red Junglefowl (Gallus ) gallus,9.0,6.0,7.0,22.0,13.0,6.0,11.0,9.0,3.0,10.0,9.0,15.0,2.0,7.0,4.0,8.0,9.0,6.0,7.0,22.0,Large,30.0,22.0,26.0,19.0,29.0,True,North,7.0,False,1.18
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,34.0,Red-breasted (Psittacula ) Parakeet alexandri,5.0,5.0,4.0,14.0,4.0,2.0,4.0,13.0,8.0,10.0,13.0,7.0,7.0,14.0,14.0,6.0,5.0,5.0,4.0,14.0,Large,10.0,31.0,27.0,34.0,-6.0,True,North,-20.0,False,1.93
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,35.0,Rose-ringed (Psittacula ) Parakeet krameri,3.0,5.0,6.0,8.0,12.0,10.0,6.0,14.0,5.0,6.0,9.0,3.0,3.0,5.0,15.0,11.0,3.0,5.0,6.0,14.0,Large,28.0,25.0,15.0,31.0,15.0,True,North,7.0,False,1.88
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,36.0,Rose-ringed (Psittacula ) Parakeet (color sp. morph),2.0,4.0,6.0,6.0,12.0,5.0,4.0,3.0,8.0,10.0,9.0,4.0,5.0,2.0,5.0,14.0,3.0,3.0,3.0,7.0,Large,21.0,21.0,18.0,21.0,9.0,True,North,3.0,False,3.0
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,37.0,Sarus Crane (Antigone ) antigone,11.0,13.0,3.0,3.0,6.0,4.0,3.0,8.0,13.0,12.0,5.0,11.0,3.0,2.0,2.0,11.0,12.0,7.0,4.0,3.0,Large,13.0,33.0,19.0,15.0,15.0,True,North,12.0,False,6.33
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,38.0,Silver Pheasant (Lophura ) nycthemera,7.0,3.0,6.0,16.0,6.0,11.0,3.0,6.0,15.0,5.0,4.0,10.0,4.0,6.0,2.0,9.0,7.0,2.0,5.0,14.0,Large,20.0,26.0,18.0,17.0,27.0,True,North,11.0,False,1.12
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,40.0,Woolly-necked (Ciconia ) Stork episcopus,12.0,12.0,2.0,4.0,15.0,10.0,10.0,15.0,9.0,6.0,4.0,5.0,9.0,2.0,5.0,13.0,7.0,11.0,15.0,3.0,Large,35.0,30.0,18.0,20.0,31.0,True,North,27.0,False,4.5
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,41.0,Yellow-faced (Alipiopsitta ) Parrot xanthops,15.0,10.0,5.0,7.0,8.0,10.0,2.0,2.0,11.0,6.0,9.0,3.0,6.0,5.0,14.0,14.0,12.0,2.0,4.0,6.0,Large,20.0,19.0,18.0,33.0,-5.0,True,North,-12.0,False,2.57
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,46.96859169199595,Mammalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Large,0.0,0.0,0.0,0.0,0.0,False,North,0.0,False,0.0
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,42.0,*Barasingha (Rucervus ) (Swamp Deer) duvaucelii,22.0,43.0,8.0,73.0,7.0,11.0,9.0,9.0,12.0,2.0,2.0,9.0,12.0,11.0,13.0,6.0,20.0,42.0,17.0,79.0,Large,27.0,23.0,23.0,30.0,70.0,True,North,-3.0,False,0.32
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,43.0,*Bengal Hanuman (Semnopithe ) langur cus entellus,14.0,5.0,15.0,2.0,5.0,3.0,14.0,5.0,2.0,5.0,5.0,8.0,7.0,15.0,11.0,2.0,7.0,2.0,14.0,2.0,Large,22.0,12.0,20.0,28.0,-12.0,True,North,-14.0,False,10.0
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,44.0,*Bengal Slow Loris (Nycticebus ) bengalensis,5.0,2.0,9.0,2.0,6.0,7.0,10.0,7.0,7.0,2.0,14.0,9.0,15.0,12.0,15.0,8.0,14.0,12.0,4.0,10.0,Large,23.0,16.0,38.0,35.0,-32.0,True,North,-34.0,False,19.0
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,45.0,*Bengal Tiger (Panthera ) tigris tigris,4.0,3.0,4.0,7.0,6.0,10.0,10.0,5.0,7.0,8.0,5.0,10.0,5.0,10.0,4.0,6.0,5.0,3.0,8.0,8.0,Large,26.0,20.0,20.0,20.0,13.0,True,North,6.0,False,2.86
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,46.0,*Blackbuck (Antilope ) cervicapra,37.0,39.0,3.0,79.0,5.0,9.0,14.0,3.0,7.0,6.0,3.0,6.0,10.0,2.0,4.0,3.0,36.0,39.0,17.0,92.0,Large,28.0,16.0,19.0,9.0,95.0,True,North,16.0,False,0.24
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,47.0,*Blackbuck (Antilope ) (leucistic/white) cervicapra,3.0,11.0,8.0,4.0,13.0,8.0,3.0,2.0,15.0,7.0,8.0,14.0,8.0,6.0,3.0,6.0,3.0,13.0,14.0,4.0,Large,24.0,24.0,30.0,15.0,7.0,True,North,3.0,False,7.5
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,48.0,*Bonnet Macaque (Macaca ) radiata,3.0,2.0,12.0,5.0,14.0,13.0,5.0,6.0,5.0,9.0,7.0,10.0,9.0,13.0,10.0,6.0,2.0,2.0,3.0,4.0,Large,32.0,20.0,26.0,29.0,2.0,True,North,-3.0,False,5.2
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,49.0,*Caracal (Caracal ) caracal,8.0,2.0,7.0,4.0,7.0,6.0,3.0,6.0,6.0,8.0,11.0,6.0,5.0,11.0,4.0,8.0,8.0,6.0,8.0,3.0,Large,16.0,20.0,22.0,23.0,-5.0,True,North,-9.0,False,5.5
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,50.0,"Chimpanzee, (Pan ) Common troglodytes chimpanzee, Robust chimpanzee",14.0,4.0,9.0,3.0,7.0,13.0,4.0,5.0,12.0,15.0,8.0,10.0,7.0,9.0,14.0,2.0,13.0,4.0,11.0,3.0,Large,24.0,32.0,25.0,25.0,9.0,True,North,6.0,False,8.33
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,51.0,Chital/ Spotted (Axis axis ) Deer,38.0,96.0,22.0,156.0,8.0,2.0,54.0,6.0,13.0,10.0,9.0,12.0,11.0,3.0,6.0,2.0,38.0,96.0,76.0,210.0,Large,64.0,29.0,32.0,11.0,206.0,True,North,50.0,False,0.21
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,53.0,*Fishing Cat (Prionailurus ) viverrinus,2.0,15.0,12.0,2.0,10.0,8.0,2.0,12.0,15.0,12.0,11.0,13.0,11.0,4.0,11.0,8.0,6.0,10.0,9.0,13.0,Large,20.0,39.0,35.0,23.0,3.0,True,North,1.0,False,17.5
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,54.0,*Fox Common (Vulpes ) bengalensis,10.0,4.0,2.0,12.0,7.0,6.0,6.0,7.0,4.0,5.0,12.0,2.0,10.0,13.0,4.0,4.0,6.0,7.0,4.0,5.0,Large,19.0,16.0,24.0,21.0,2.0,True,North,-10.0,False,2.0
Nawab Wajid Ali Shah Zoological Garden,Lucknow,Lucknow,Uttar Pradesh,55.0,Grant's Zebra (Equus ) quagga boehmi,2.0,2.0,2.0,4.0,5.0,9.0,6.0,12.0,10.0,9.0,9.0,5.0,2.0,10.0,6.0,10.0,2.0,2.0,13.0,4.0,Large,20.0,31.0,16.0,26.0,13.0,True,North,9.0,False,4.0
